0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1.0,5.0,13.333333333333336,1.9239058735902208,5.5555555555555545,12.5,15.0,15.0,13.333333333333336,15.0,10.0,2.3570226039551585,5.5555555555555545,0.0,0.0,0.0,0.0,0.0,24.473875,0.0,1.0,0.6666666666666666,6.46,8.025,8.0455,6.995333333333334,8.066,4.895,1.485254261809143,2.205980222222224,1.864408350732624,1.8691588785046729,1.9560298989050435,1.9239058735902208,2.042900919305414,1.8596578229605751,0.08423155858577676,0.007094955461789143,1.6343958608924822,1.906032593157343,0.007094955461789143,1.0,1.0,40.0,4.0,0.0,0.0,3.0,8.0,3.0,20.986,0.8574857884172409
1.0,5.0,21.33333333333333,1.9560541390524009,288.22222222222223,9.5,13.0,29.0,21.33333333333333,45.0,6.0,16.977108770995788,288.22222222222223,0.0,0.0,0.0,0.0,0.0,31.416625,0.0,1.0,0.3333333333333333,5.087,6.399,13.212,10.066333333333333,20.025,3.775,7.122856418288633,50.73508355555553,1.810485702960624,2.0315674324113138,2.139379221823635,1.9560541390524009,2.247191011235955,1.589403973509934,0.2737975405970934,0.074965093237017,2.0371379802890988,2.1192754726977707,0.074965093237017,0.0,2.0,64.0,7.0,2.0,0.0,3.0,15.0,2.0,30.199,0.9612426541679764
1.0,5.0,10.5,2.247848872594392,30.91666666666667,7.25,10.0,14.25,10.5,19.0,2.0,5.560275772537426,30.91666666666667,0.0,0.0,0.0,0.0,0.0,31.69525,0.0,1.0,0.5,3.08,4.6110000000000015,5.7355,4.433666666666666,7.425,1.275,2.0447857806843452,4.181148888888888,2.161088732957157,2.309393656472645,2.523682420055477,2.247848872594392,2.592912705272256,1.5686274509803924,0.34600781599243896,0.11972140872785753,1.9876795418871915,2.3682429892489285,0.11972140872785753,1.0,1.0,63.0,11.0,1.0,0.0,6.0,8.0,3.0,26.602,0.8393055741790962
1.0,5.0,27.5,2.1142838719352475,800.25,1.0,20.5,47.0,27.5,68.0,1.0,28.28869031963127,800.25,0.0,0.0,0.0,0.0,0.25,38.6148125,0.0,1.0,0.5,1.5364999999999998,7.296,14.595,8.835500000000003,20.025,0.725,7.999741917712097,63.99587075,1.172833616396008,2.253988375386026,3.195438630925266,2.1142838719352475,3.3957553058676657,0.5534034311012729,1.188241852214324,1.4119186993537278,2.8486477825057417,3.1124441174806186,1.4119186993537278,3.0,2.0,110.0,8.0,1.0,1.0,4.0,11.0,3.0,35.342,0.915244635721072
0.0,1.0,21.625,3.0448419537699167,239.484375,12.5,19.0,26.0,21.625,66.0,2.0,15.475282711472511,239.484375,15.0,0.04335260115606936,2.0,0.0057803468208092465,0.0,133.259375,0.0,1.0,0.375,3.84,6.58,7.8875,6.843125,20.025,0.915,4.492475958129881,20.182340234374994,2.8508737843957075,3.1470229161739427,3.3386336672490686,3.0448419537699167,3.572786012922843,2.1857923497267757,0.3970874986124324,0.15767848155427847,2.59644021293061,3.1601059457484704,0.15767848155427847,8.0,14.0,346.0,36.0,5.0,1.0,16.0,37.0,10.0,109.49,0.8216307483057007
0.0,0.0,21.65,2.8028494501134684,258.42749999999995,10.75,16.0,29.25,21.65,66.0,2.0,16.075680389955508,258.42749999999995,3.0,0.006928406466512702,0.0,0.0,0.0,180.4190625,0.0,3.0,0.35,3.6325,6.295,11.62,7.8285,20.025,0.875,5.4196072505302455,29.372142749999995,2.30634279792432,2.6641069187033892,3.3193677394781944,2.8028494501134693,4.011461318051576,1.9987507807620235,0.5743657608865428,0.3298960272787772,2.399968129753473,2.76553618189947,0.3298960272787772,4.0,11.0,433.0,38.0,2.0,0.0,20.0,81.0,37.0,156.57,0.8678129562944603
0.0,0.0,4.72,1.4264945919719367,20.441599999999987,1.0,3.0,7.0,4.72,20.0,1.0,4.521238768302333,20.4416,1.0,0.00847457627118644,0.0,0.0,0.04,123.6463125,0.0,2.0,0.36,1.305,2.195,3.735,3.02312,8.895,0.805,2.289254207291099,5.240684825599999,1.0997643362136684,1.366742596810934,1.7513134851138354,1.4264945919719367,2.3579849946409435,0.5333333333333333,0.4815760591403628,0.23191550073716216,0.9543349705637196,1.5613009076715445,0.23191550073716224,1.0,4.0,118.0,12.0,0.0,0.0,25.0,22.0,12.0,75.578,0.6112434610615662
1.0,5.0,32.0,2.5417627622418806,576.0,20.0,32.0,44.0,32.0,56.0,8.0,24.0,576.0,0.0,0.0,0.0,0.0,0.0,24.055875,0.0,1.0,0.5,7.62975,11.7615,15.893249999999998,11.7615,20.025,3.498,8.2635,68.28543225,2.4143919585937814,2.5417627622418806,2.669133565889979,2.5417627622418806,2.7965043695380776,2.287021154945683,0.2547416072961972,0.06489328648784995,2.6604727535373374,2.7207414020320537,0.06489328648784995,0.0,1.0,64.0,7.0,1.0,0.0,2.0,4.0,0.0,23.523000000000003,0.9778484465852936
1.0,5.0,20.5,1.9170197814115157,110.25,15.25,20.5,25.75,20.5,31.0,10.0,10.5,110.25,1.0,0.024390243902439025,0.0,0.0,0.0,21.7106875,0.0,1.0,0.5,8.84,9.965,11.09,9.965,12.215,7.715,2.25,5.0625,1.6065980306927965,1.9170197814115157,2.227441532130236,1.9170197814115157,2.537863282848956,1.2961762799740766,0.6208435014374397,0.38544665327710026,1.8884708280196103,2.0572002007024586,0.38544665327710026,0.0,1.0,41.0,3.0,3.0,0.0,2.0,6.0,0.0,19.93,0.9179810634739228
0.0,2.0,12.875,2.096440010231273,109.359375,5.25,7.0,23.25,12.875,29.0,2.0,10.457503287113994,109.359375,0.0,0.0,0.0,0.0,0.0,62.6939375,0.0,2.0,0.375,3.08775,4.475,9.5325,5.930125,12.005,0.765,3.8945720380261295,15.167691359375004,1.6304987787877523,2.1388237458305084,2.661906108597285,2.096440010231273,3.188565145684442,0.91324200913242,0.7331141717466573,0.5374563888157873,1.642902074861704,2.1711178094896817,0.5374563888157873,1.0,2.0,103.0,16.0,1.0,1.0,8.0,16.0,2.0,47.441,0.756707935276836
